alpha,I
-2.266,14
-2.272,13.6
-2.277,13.6
-2.282,13.6
-2.288,13.6
-2.293,13.6
-2.298,14
-2.304,14
-2.309,14
-2.314,13.6
-2.32,13.6
-2.325,13.6
-2.33,13.6
-2.336,14
-2.341,14
-2.346,14.4
-2.352,14.4
-2.357,14.4
-2.362,14.4
-2.368,14
-2.373,14
-2.378,14
-2.384,14
-2.389,14
-2.394,14
-2.4,14
-2.405,14
-2.41,14
-2.416,13.6
-2.421,13.2
-2.426,12.8
-2.432,12.4
-2.437,12.4
-2.442,12
-2.448,12
-2.453,12
-2.458,12.4
-2.464,12.4
-2.469,12.4
-2.474,12.4
-2.48,12.4
-2.485,12.4
-2.49,12.4
-2.496,12.4
-2.501,12.4
-2.506,12.4
-2.512,12.4
-2.517,12.4
-2.522,12.4
-2.528,12
-2.533,12
-2.538,12
-2.544,12
-2.549,12
-2.554,12
-2.56,12
-2.565,12
-2.57,12
-2.576,11.6
-2.581,11.6
-2.586,11.2
-2.592,11.2
-2.597,11.2
-2.602,11.2
-2.608,11.2
-2.613,11.2
-2.619,11.2
-2.624,11.2
-2.629,10.8
-2.635,10.8
-2.64,10.8
-2.645,10.8
-2.651,10.8
-2.656,11.2
-2.661,11.2
-2.667,11.2
-2.672,10.8
-2.677,10.8
-2.683,10.8
-2.688,10.4
-2.693,10.4
-2.699,10.4
-2.704,10.4
-2.709,10.4
-2.715,10.4
-2.72,10.4
-2.725,10
-2.731,10
-2.736,9.6
-2.741,9.6
-2.747,9.6
-2.752,9.6
-2.757,9.6
-2.763,9.6
-2.768,9.6
-2.773,9.6
-2.779,9.6
-2.784,9.6
-2.789,9.6
-2.795,9.6
-2.8,9.6
-2.805,9.6
-2.811,9.6
-2.816,9.6
-2.821,9.2
-2.827,9.2
-2.832,9.2
-2.837,9.2
-2.843,9.2
-2.848,9.2
-2.853,9.2
-2.859,9.2
-2.864,9.2
-2.869,9.2
-2.875,9.2
-2.88,9.2
-2.885,9.2
-2.891,9.2
-2.896,9.2
-2.901,9.2
-2.907,9.2
-2.912,9.2
-2.917,8.8
-2.923,8.8
-2.928,8.8
-2.933,8.8
-2.939,8.8
-2.944,8.4
-2.949,8.4
-2.955,8.4
-2.96,8
-2.965,8
-2.971,8
-2.976,8
-2.981,8
-2.987,8
-2.992,8
-2.997,8
-3.003,8
-3.008,8
-3.013,8
-3.019,8
-3.024,8.4
-3.029,8.4
-3.035,8.4
-3.04,8
-3.045,8
-3.051,8
-3.056,7.6
-3.061,7.6
-3.067,7.6
-3.072,7.6
-3.077,7.6
-3.083,7.2
-3.088,7.2
-3.093,7.2
-3.099,6.8
-3.104,6.8
-3.109,6.8
-3.115,6.8
-3.12,6.8
-3.125,6.8
-3.131,6.8
-3.136,6.8
-3.141,6.8
-3.147,6.8
-3.152,7.2
-3.157,7.2
-3.163,7.2
-3.168,7.2
-3.173,7.2
-3.179,7.2
-3.184,7.2
-3.189,7.2
-3.195,6.8
-3.2,6.8
-3.205,6.4
-3.211,6.4
-3.216,6.4
-3.221,6.4
-3.227,6
-3.232,6
-3.237,6
-3.243,6
